"Date","(Observed) Incoming Shortwave (W/ft2)","(Modeled) Incoming Shortwave (W/ft2)","(Modeled) Net Shortwave (W/ft2)","(Modeled) Incoming Longwave (W/ft2)","(Modeled) Net Longwave (W/ft2)","Date w/o Time","Hour","Forecasted from 0 UTC"
"2023-08-23 22:00:00",,79.52,,,,"2023-08-23","22","n"
"2023-08-23 23:00:00",,65.40,,,,"2023-08-23","23","n"
"2023-08-24 00:00:00",,47.14,,,,"2023-08-24","00","n"
"2023-08-24 01:00:00",,27.99,,,,"2023-08-24","01","n"
"2023-08-24 02:00:00",,14.00,,,,"2023-08-24","02","n"
"2023-08-24 03:00:00",,0.00,,,,"2023-08-24","03","n"
"2023-08-24 04:00:00",,0.00,,,,"2023-08-24","04","n"
"2023-08-24 05:00:00",,0.00,,,,"2023-08-24","05","n"
"2023-08-24 06:00:00",,0.00,,,,"2023-08-24","06","n"
"2023-08-24 07:00:00",,0.00,,,,"2023-08-24","07","n"
"2023-08-24 08:00:00",,0.00,,,,"2023-08-24","08","n"
"2023-08-24 09:00:00",,0.00,,,,"2023-08-24","09","n"
"2023-08-24 10:00:00",,0.00,,,,"2023-08-24","10","n"
"2023-08-24 11:00:00",,0.00,,,,"2023-08-24","11","n"
"2023-08-24 12:00:00",,0.00,,,,"2023-08-24","12","n"
"2023-08-24 13:00:00",,9.51,,,,"2023-08-24","13","n"
"2023-08-24 14:00:00",,19.02,,,,"2023-08-24","14","n"
"2023-08-24 15:00:00",,28.53,,,,"2023-08-24","15","n"
"2023-08-24 16:00:00",,45.52,,,,"2023-08-24","16","n"
"2023-08-24 17:00:00",,62.51,,,,"2023-08-24","17","n"
"2023-08-24 18:00:00",,79.50,,,,"2023-08-24","18","n"
"2023-08-24 19:00:00",,80.19,,,,"2023-08-24","19","n"
"2023-08-24 20:00:00",,80.90,,,,"2023-08-24","20","n"
"2023-08-24 21:00:00",,81.60,,,,"2023-08-24","21","n"
"2023-08-24 22:00:00",,65.74,,,,"2023-08-24","22","n"
"2023-08-24 23:00:00",,44.52,,,,"2023-08-24","23","n"
"2023-08-25 00:00:00",,23.30,,,,"2023-08-25","00","n"
"2023-08-25 01:00:00",,15.53,,,,"2023-08-25","01","n"
"2023-08-25 02:00:00",,7.77,,,,"2023-08-25","02","n"
"2023-08-25 03:00:00",,0.00,,,,"2023-08-25","03","n"
"2023-08-25 04:00:00",,0.00,,,,"2023-08-25","04","n"
"2023-08-25 05:00:00",,0.00,,,,"2023-08-25","05","n"
"2023-08-25 06:00:00",,0.00,,,,"2023-08-25","06","n"
"2023-08-25 07:00:00",,0.00,,,,"2023-08-25","07","n"
"2023-08-25 08:00:00",,0.00,,,,"2023-08-25","08","n"
"2023-08-25 09:00:00",,0.00,,,,"2023-08-25","09","n"
"2023-08-25 10:00:00",,0.00,,,,"2023-08-25","10","n"
"2023-08-25 11:00:00",,0.00,,,,"2023-08-25","11","n"
